epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5878.56,1.31343,0.73183,1.17955,0.84172,0.91304,0.94758,0.55904,1.52702,1.06299,1.3236,0.00098525,0.00098525,0.00098525
43,6065.44,1.36708,0.71429,1.17259,0.79935,0.94203,0.93243,0.56069,1.56098,0.97264,1.30107,0.0009605,0.0009605,0.0009605
44,6243.35,1.31197,0.73562,1.14453,0.82431,0.94203,0.93949,0.57411,1.52549,0.90653,1.28445,0.00093575,0.00093575,0.00093575
45,6403.68,1.27493,0.70298,1.16066,0.83963,0.92754,0.94604,0.57491,1.50257,0.93619,1.27788,0.000911,0.000911,0.000911
46,6561.24,1.30029,0.7222,1.16763,0.83603,0.91304,0.91389,0.52979,1.55264,1.03059,1.27622,0.00088625,0.00088625,0.00088625
47,6745.57,1.28745,0.71142,1.1449,0.81576,0.89838,0.91942,0.56765,1.51395,1.00478,1.27067,0.0008615,0.0008615,0.0008615
48,6937.47,1.29427,0.69797,1.15424,0.91382,0.92214,0.956,0.57922,1.45687,0.89511,1.26807,0.00083675,0.00083675,0.00083675
49,7142.64,1.28809,0.70339,1.15377,0.87631,0.94203,0.94028,0.55912,1.44502,0.90813,1.2538,0.000812,0.000812,0.000812
50,7374.52,1.28719,0.66459,1.15895,0.85508,0.94064,0.95665,0.59171,1.4461,0.9118,1.27737,0.00078725,0.00078725,0.00078725
51,7566.98,1.25079,0.67859,1.11037,0.85298,0.92497,0.95611,0.59658,1.49715,0.91864,1.28147,0.0007625,0.0007625,0.0007625
52,7784.45,1.22814,0.65406,1.14112,0.87642,0.92509,0.95133,0.56122,1.51884,0.97782,1.29212,0.00073775,0.00073775,0.00073775
53,8011.22,1.26694,0.69182,1.13675,0.86592,0.93604,0.94803,0.57099,1.49874,0.85883,1.29817,0.000713,0.000713,0.000713
54,8175.74,1.22819,0.67506,1.14782,0.86601,0.94203,0.94959,0.56544,1.48968,0.89063,1.30684,0.00068825,0.00068825,0.00068825
55,8341.1,1.26552,0.66619,1.13428,0.87336,0.91304,0.95925,0.56757,1.54807,0.85571,1.31651,0.0006635,0.0006635,0.0006635
56,8544.42,1.25492,0.66623,1.13784,0.83046,0.92754,0.93482,0.55283,1.50167,0.98714,1.30292,0.00063875,0.00063875,0.00063875
57,8755.09,1.25239,0.64057,1.1407,0.77859,0.98551,0.94959,0.58179,1.50213,0.90217,1.28516,0.000614,0.000614,0.000614
58,8934.67,1.19339,0.64346,1.07865,0.8426,0.95652,0.94833,0.56458,1.50709,0.92482,1.28477,0.00058925,0.00058925,0.00058925
59,9111.45,1.29337,0.66663,1.14923,0.86459,0.92537,0.94834,0.59304,1.46707,0.85467,1.28335,0.0005645,0.0005645,0.0005645
60,9294.3,1.2119,0.62531,1.12994,0.86489,0.92754,0.94995,0.57348,1.45953,0.88619,1.27267,0.00053975,0.00053975,0.00053975
61,9476.46,1.21259,0.63404,1.12051,0.85941,0.92754,0.94141,0.58385,1.4798,0.91458,1.28372,0.000515,0.000515,0.000515
62,9656.27,1.19608,0.62658,1.10521,0.81148,0.9358,0.93789,0.57321,1.45273,0.97484,1.2933,0.00049025,0.00049025,0.00049025
63,9844.21,1.22703,0.63843,1.12426,0.89187,0.85507,0.94824,0.58544,1.4191,0.86014,1.2999,0.0004655,0.0004655,0.0004655
64,10037.7,1.20457,0.61118,1.09232,0.85187,0.94203,0.96238,0.58792,1.43784,0.90597,1.29891,0.00044075,0.00044075,0.00044075
65,10198.3,1.20273,0.62711,1.10002,0.86528,0.94203,0.94985,0.56202,1.51253,0.90732,1.33103,0.000416,0.000416,0.000416
66,10313.1,1.23091,0.63987,1.11078,0.88844,0.89855,0.9485,0.57445,1.40519,0.84263,1.28879,0.00039125,0.00039125,0.00039125
67,10421.6,1.18876,0.61555,1.09775,0.87035,0.92754,0.95514,0.59868,1.44119,0.88475,1.29123,0.0003665,0.0003665,0.0003665
68,10528.6,1.17709,0.60767,1.095,0.83166,0.93086,0.93524,0.57896,1.41839,0.91372,1.26601,0.00034175,0.00034175,0.00034175
69,10638.7,1.15434,0.60069,1.09374,0.87284,0.89538,0.94522,0.58307,1.39224,0.88365,1.25994,0.000317,0.000317,0.000317
70,10754.1,1.14247,0.58455,1.10532,0.86916,0.89855,0.94397,0.58985,1.39398,0.85269,1.24063,0.00029225,0.00029225,0.00029225
71,10873.6,1.1427,0.59078,1.13889,0.8519,0.95652,0.95045,0.57946,1.47286,0.87507,1.27949,0.0002675,0.0002675,0.0002675
72,10984,1.12466,0.57028,1.10204,0.87799,0.93867,0.95503,0.58389,1.45598,0.83643,1.27846,0.00024275,0.00024275,0.00024275
73,11098.7,1.06523,0.66723,1.05845,0.88076,0.91304,0.94561,0.58678,1.41092,0.87643,1.26394,0.000218,0.000218,0.000218
74,11213.3,1.13044,0.56433,1.10778,0.8872,0.91189,0.94644,0.56935,1.43167,0.90762,1.28481,0.00019325,0.00019325,0.00019325
75,11325.5,1.15258,0.58506,1.14341,0.87218,0.92754,0.9507,0.5671,1.44084,0.89411,1.29289,0.0001685,0.0001685,0.0001685
76,11443.5,1.1259,0.58265,1.13525,0.87325,0.92754,0.9541,0.58109,1.42534,0.88257,1.27229,0.00014375,0.00014375,0.00014375
77,11541.9,1.10355,0.55824,1.12134,0.86767,0.92754,0.95726,0.58488,1.43227,0.86845,1.26605,0.000119,0.000119,0.000119
78,11643.7,1.12785,0.55954,1.08804,0.866,0.93663,0.95796,0.58269,1.45284,0.8536,1.26578,9.425e-05,9.425e-05,9.425e-05
79,11746.9,1.13032,0.57553,1.12145,0.89625,0.91304,0.95417,0.57781,1.45929,0.8645,1.26743,6.95e-05,6.95e-05,6.95e-05
80,11851.5,1.12458,0.55609,1.08843,0.89397,0.91304,0.95592,0.57766,1.45867,0.86569,1.26383,4.475e-05,4.475e-05,4.475e-05
